Gene;Gene name;Tissue;TPM
ENSG00000000971;CFH;skeletal muscle;3.7
ENSG00000000971;CFH;skin;46.1
ENSG00000000971;CFH;small intestine;55.1
ENSG00000000971;CFH;smooth muscle;46.2
ENSG00000000971;CFH;spleen;18.7
ENSG00000000971;CFH;stomach;43.9
ENSG00000000971;CFH;T-cells;18.4
ENSG00000000971;CFH;testis;27.1
ENSG00000000971;CFH;thyroid gland;59.0
ENSG00000000971;CFH;tonsil;23.8
ENSG00000000971;CFH;urinary bladder;109.6
ENSG00000001629;ANKIB1;adipose tissue;14.6
ENSG00000001629;ANKIB1;adrenal gland;14.8
ENSG00000001629;ANKIB1;appendix;14.1
ENSG00000001629;ANKIB1;B-cells;1.3
ENSG00000001629;ANKIB1;bone marrow;4.5
ENSG00000001629;ANKIB1;breast;16.0
ENSG00000001629;ANKIB1;cerebral cortex;36.2
ENSG00000001629;ANKIB1;cervix, uterine;20.4
ENSG00000001629;ANKIB1;colon;13.0
ENSG00000001629;ANKIB1;dendritic cells;1.6
ENSG00000001629;ANKIB1;duodenum;11.6
ENSG00000001629;ANKIB1;endometrium;21.1
ENSG00000001629;ANKIB1;epididymis;20.0
ENSG00000001629;ANKIB1;esophagus;13.7
ENSG00000001629;ANKIB1;fallopian tube;16.8
ENSG00000001629;ANKIB1;gallbladder;24.5
ENSG00000001629;ANKIB1;granulocytes;1.0
ENSG00000001629;ANKIB1;heart muscle;7.0
ENSG00000001629;ANKIB1;kidney;28.1
ENSG00000001629;ANKIB1;liver;5.6
ENSG00000001629;ANKIB1;lung;17.2
ENSG00000001629;ANKIB1;lymph node;15.7
ENSG00000001629;ANKIB1;monocytes;0.6
ENSG00000001629;ANKIB1;NK-cells;1.4
ENSG00000001629;ANKIB1;ovary;16.3
ENSG00000001629;ANKIB1;pancreas;2.6
ENSG00000001629;ANKIB1;parathyroid gland;46.4
ENSG00000001629;ANKIB1;placenta;19.0
ENSG00000001629;ANKIB1;prostate;17.0
ENSG00000001629;ANKIB1;rectum;14.5
ENSG00000001629;ANKIB1;salivary gland;6.1
ENSG00000001629;ANKIB1;seminal vesicle;16.5
ENSG00000001629;ANKIB1;skeletal muscle;2.8
ENSG00000001629;ANKIB1;skin;18.0
ENSG00000001629;ANKIB1;small intestine;13.7
ENSG00000001629;ANKIB1;smooth muscle;20.6
ENSG00000001629;ANKIB1;spleen;17.8
ENSG00000001629;ANKIB1;stomach;11.3
ENSG00000001629;ANKIB1;T-cells;1.7
ENSG00000001629;ANKIB1;testis;38.6
ENSG00000001629;ANKIB1;thyroid gland;29.9
ENSG00000001629;ANKIB1;tonsil;11.3
ENSG00000001629;ANKIB1;urinary bladder;16.7
ENSG00000001631;KRIT1;adipose tissue;16.4
ENSG00000001631;KRIT1;adrenal gland;19.7
ENSG00000001631;KRIT1;appendix;23.9
ENSG00000001631;KRIT1;B-cells;7.5
ENSG00000001631;KRIT1;bone marrow;5.6
ENSG00000001631;KRIT1;breast;17.5
ENSG00000001631;KRIT1;cerebral cortex;28.4
ENSG00000001631;KRIT1;cervix, uterine;26.6
ENSG00000001631;KRIT1;colon;13.7
ENSG00000001631;KRIT1;dendritic cells;7.4
ENSG00000001631;KRIT1;duodenum;16.0
ENSG00000001631;KRIT1;endometrium;31.8
ENSG00000001631;KRIT1;epididymis;15.5
ENSG00000001631;KRIT1;esophagus;17.0
ENSG00000001631;KRIT1;fallopian tube;26.4
ENSG00000001631;KRIT1;gallbladder;28.4
ENSG00000001631;KRIT1;granulocytes;10.2
ENSG00000001631;KRIT1;heart muscle;14.0
ENSG00000001631;KRIT1;kidney;19.5
ENSG00000001631;KRIT1;liver;7.7
ENSG00000001631;KRIT1;lung;20.0
ENSG00000001631;KRIT1;lymph node;19.7
ENSG00000001631;KRIT1;monocytes;4.5
ENSG00000001631;KRIT1;NK-cells;13.7
ENSG00000001631;KRIT1;ovary;28.5
ENSG00000001631;KRIT1;pancreas;3.6
ENSG00000001631;KRIT1;parathyroid gland;42.4
ENSG00000001631;KRIT1;placenta;24.7
ENSG00000001631;KRIT1;prostate;23.0
ENSG00000001631;KRIT1;rectum;15.5
ENSG00000001631;KRIT1;salivary gland;6.4
ENSG00000001631;KRIT1;seminal vesicle;19.6
ENSG00000001631;KRIT1;skeletal muscle;6.9
ENSG00000001631;KRIT1;skin;17.1
ENSG00000001631;KRIT1;small intestine;16.1
ENSG00000001631;KRIT1;smooth muscle;23.5
ENSG00000001631;KRIT1;spleen;23.0
ENSG00000001631;KRIT1;stomach;15.4
ENSG00000001631;KRIT1;T-cells;9.6
ENSG00000001631;KRIT1;testis;48.8
ENSG00000001631;KRIT1;thyroid gland;43.6
ENSG00000001631;KRIT1;tonsil;17.5
ENSG00000001631;KRIT1;urinary bladder;19.8
ENSG00000002016;RAD52;adipose tissue;5.2
ENSG00000002016;RAD52;adrenal gland;4.7
ENSG00000002016;RAD52;appendix;6.4
ENSG00000002016;RAD52;B-cells;3.1
ENSG00000002016;RAD52;bone marrow;2.1
ENSG00000002016;RAD52;breast;7.2
ENSG00000002016;RAD52;cerebral cortex;7.9
ENSG00000002016;RAD52;cervix, uterine;5.1
ENSG00000002016;RAD52;colon;7.1
ENSG00000002016;RAD52;dendritic cells;5.3
ENSG00000002016;RAD52;duodenum;5.7
ENSG00000002016;RAD52;endometrium;11.6
ENSG00000002016;RAD52;epididymis;9.8
ENSG00000002016;RAD52;esophagus;3.2
ENSG00000002016;RAD52;fallopian tube;10.3
ENSG00000002016;RAD52;gallbladder;6.2
ENSG00000002016;RAD52;granulocytes;4.0
ENSG00000002016;RAD52;heart muscle;2.5
ENSG00000002016;RAD52;kidney;4.8
ENSG00000002016;RAD52;liver;2.5
ENSG00000002016;RAD52;lung;5.6
ENSG00000002016;RAD52;lymph node;6.8
ENSG00000002016;RAD52;monocytes;2.0
ENSG00000002016;RAD52;NK-cells;2.7
ENSG00000002016;RAD52;ovary;12.3
ENSG00000002016;RAD52;pancreas;1.1
ENSG00000002016;RAD52;parathyroid gland;8.8
ENSG00000002016;RAD52;placenta;7.3
ENSG00000002016;RAD52;prostate;8.5
ENSG00000002016;RAD52;rectum;7.5
ENSG00000002016;RAD52;salivary gland;1.5
ENSG00000002016;RAD52;seminal vesicle;8.0
ENSG00000002016;RAD52;skeletal muscle;3.9
ENSG00000002016;RAD52;skin;10.7
ENSG00000002016;RAD52;small intestine;7.1
ENSG00000002016;RAD52;smooth muscle;8.7
ENSG00000002016;RAD52;spleen;7.3
ENSG00000002016;RAD52;stomach;5.0
ENSG00000002016;RAD52;T-cells;3.3
ENSG00000002016;RAD52;testis;7.8
ENSG00000002016;RAD52;thyroid gland;12.9
ENSG00000002016;RAD52;tonsil;5.5
ENSG00000002016;RAD52;urinary bladder;5.2
ENSG00000002549;LAP3;adipose tissue;109.1
ENSG00000002549;LAP3;adrenal gland;69.8
ENSG00000002549;LAP3;appendix;176.5
ENSG00000002549;LAP3;B-cells;22.3
ENSG00000002549;LAP3;bone marrow;37.3
ENSG00000002549;LAP3;breast;59.5
ENSG00000002549;LAP3;cerebral cortex;67.1
ENSG00000002549;LAP3;cervix, uterine;46.7
ENSG00000002549;LAP3;colon;59.6
ENSG00000002549;LAP3;dendritic cells;177.0
ENSG00000002549;LAP3;duodenum;78.7
ENSG00000002549;LAP3;endometrium;57.5
ENSG00000002549;LAP3;epididymis;30.7
ENSG00000002549;LAP3;esophagus;49.3
ENSG00000002549;LAP3;fallopian tube;72.9
ENSG00000002549;LAP3;gallbladder;106.6
ENSG00000002549;LAP3;granulocytes;36.2
ENSG00000002549;LAP3;heart muscle;42.8
ENSG00000002549;LAP3;kidney;110.0
ENSG00000002549;LAP3;liver;98.3
ENSG00000002549;LAP3;lung;148.4
ENSG00000002549;LAP3;lymph node;165.5
ENSG00000002549;LAP3;monocytes;170.1
ENSG00000002549;LAP3;NK-cells;59.1
ENSG00000002549;LAP3;ovary;29.8
ENSG00000002549;LAP3;pancreas;6.4
ENSG00000002549;LAP3;parathyroid gland;100.6
ENSG00000002549;LAP3;placenta;101.6
ENSG00000002549;LAP3;prostate;59.3
ENSG00000002549;LAP3;rectum;68.5
ENSG00000002549;LAP3;salivary gland;29.1
ENSG00000002549;LAP3;seminal vesicle;43.3
ENSG00000002549;LAP3;skeletal muscle;22.8
ENSG00000002549;LAP3;skin;38.4
ENSG00000002549;LAP3;small intestine;68.0
ENSG00000002549;LAP3;smooth muscle;108.7
ENSG00000002549;LAP3;spleen;129.4
ENSG00000002549;LAP3;stomach;51.2
ENSG00000002549;LAP3;T-cells;51.5
ENSG00000002549;LAP3;testis;82.6
ENSG00000002549;LAP3;thyroid gland;77.5
ENSG00000002549;LAP3;tonsil;86.0
ENSG00000002549;LAP3;urinary bladder;81.7
ENSG00000002587;HS3ST1;adipose tissue;0.6
ENSG00000002587;HS3ST1;adrenal gland;2.1
ENSG00000002587;HS3ST1;appendix;2.2
ENSG00000002587;HS3ST1;B-cells;22.1
ENSG00000002587;HS3ST1;bone marrow;1.1
ENSG00000002587;HS3ST1;breast;0.5
ENSG00000002587;HS3ST1;cerebral cortex;2.1
ENSG00000002587;HS3ST1;cervix, uterine;1.3
ENSG00000002587;HS3ST1;colon;1.5
ENSG00000002587;HS3ST1;dendritic cells;39.4
ENSG00000002587;HS3ST1;duodenum;2.1
ENSG00000002587;HS3ST1;endometrium;2.7
ENSG00000002587;HS3ST1;epididymis;1.5
ENSG00000002587;HS3ST1;esophagus;5.2
ENSG00000002587;HS3ST1;fallopian tube;2.0
ENSG00000002587;HS3ST1;gallbladder;13.9
ENSG00000002587;HS3ST1;granulocytes;0.1
ENSG00000002587;HS3ST1;heart muscle;0.4
ENSG00000002587;HS3ST1;kidney;1.6
ENSG00000002587;HS3ST1;liver;0.1
ENSG00000002587;HS3ST1;lung;1.4
ENSG00000002587;HS3ST1;lymph node;1.4
ENSG00000002587;HS3ST1;monocytes;0.3
ENSG00000002587;HS3ST1;NK-cells;0.1
ENSG00000002587;HS3ST1;ovary;23.1
ENSG00000002587;HS3ST1;pancreas;0.0
ENSG00000002587;HS3ST1;parathyroid gland;0.2
ENSG00000002587;HS3ST1;placenta;0.5
ENSG00000002587;HS3ST1;prostate;1.5
ENSG00000002587;HS3ST1;rectum;0.9
ENSG00000002587;HS3ST1;salivary gland;1.0
ENSG00000002587;HS3ST1;seminal vesicle;1.7
ENSG00000002587;HS3ST1;skeletal muscle;0.0
ENSG00000002587;HS3ST1;skin;0.2
ENSG00000002587;HS3ST1;small intestine;1.9
ENSG00000002587;HS3ST1;smooth muscle;1.2
ENSG00000002587;HS3ST1;spleen;2.5
ENSG00000002587;HS3ST1;stomach;4.3
ENSG00000002587;HS3ST1;T-cells;0.2
ENSG00000002587;HS3ST1;testis;1.5
ENSG00000002587;HS3ST1;thyroid gland;0.5
ENSG00000002587;HS3ST1;tonsil;1.0
ENSG00000002587;HS3ST1;urinary bladder;5.6
ENSG00000002834;LASP1;adipose tissue;93.7
ENSG00000002834;LASP1;adrenal gland;37.1
ENSG00000002834;LASP1;appendix;99.0
ENSG00000002834;LASP1;B-cells;9.0
ENSG00000002834;LASP1;bone marrow;77.2
ENSG00000002834;LASP1;breast;51.2
ENSG00000002834;LASP1;cerebral cortex;76.2
