Gene;Gene name;Tissue;TPM
ENSG00000001629;ANKIB1;kidney;5.8
ENSG00000001629;ANKIB1;liver;2.5
ENSG00000001629;ANKIB1;lung;9.0
ENSG00000001629;ANKIB1;midbrain;13.1
ENSG00000001629;ANKIB1;ovary;10.0
ENSG00000001629;ANKIB1;pancreas;4.3
ENSG00000001629;ANKIB1;pituitary gland;8.3
ENSG00000001629;ANKIB1;prostate;7.6
ENSG00000001629;ANKIB1;salivary gland;8.4
ENSG00000001629;ANKIB1;skeletal muscle;3.6
ENSG00000001629;ANKIB1;skin;10.1
ENSG00000001629;ANKIB1;small intestine;8.3
ENSG00000001629;ANKIB1;spinal cord;15.1
ENSG00000001629;ANKIB1;spleen;7.9
ENSG00000001629;ANKIB1;stomach;5.5
ENSG00000001629;ANKIB1;testis;15.2
ENSG00000001629;ANKIB1;thyroid gland;10.4
ENSG00000001629;ANKIB1;urinary bladder;11.3
ENSG00000001629;ANKIB1;vagina;9.4
ENSG00000001631;KRIT1;adipose tissue;11.5
ENSG00000001631;KRIT1;adrenal gland;8.8
ENSG00000001631;KRIT1;amygdala;4.1
ENSG00000001631;KRIT1;basal ganglia;5.9
ENSG00000001631;KRIT1;breast;10.6
ENSG00000001631;KRIT1;cerebellum;16.4
ENSG00000001631;KRIT1;cerebral cortex;8.0
ENSG00000001631;KRIT1;cervix, uterine;15.8
ENSG00000001631;KRIT1;colon;11.6
ENSG00000001631;KRIT1;endometrium;14.6
ENSG00000001631;KRIT1;esophagus;8.2
ENSG00000001631;KRIT1;fallopian tube;13.3
ENSG00000001631;KRIT1;heart muscle;5.7
ENSG00000001631;KRIT1;hippocampal formation;4.5
ENSG00000001631;KRIT1;hypothalamus;6.2
ENSG00000001631;KRIT1;kidney;5.6
ENSG00000001631;KRIT1;liver;3.4
ENSG00000001631;KRIT1;lung;10.1
ENSG00000001631;KRIT1;midbrain;4.9
ENSG00000001631;KRIT1;ovary;13.6
ENSG00000001631;KRIT1;pancreas;4.4
ENSG00000001631;KRIT1;pituitary gland;12.8
ENSG00000001631;KRIT1;prostate;9.2
ENSG00000001631;KRIT1;salivary gland;10.0
ENSG00000001631;KRIT1;skeletal muscle;7.7
ENSG00000001631;KRIT1;skin;8.1
ENSG00000001631;KRIT1;small intestine;9.2
ENSG00000001631;KRIT1;spinal cord;6.6
ENSG00000001631;KRIT1;spleen;7.9
ENSG00000001631;KRIT1;stomach;7.5
ENSG00000001631;KRIT1;testis;14.5
ENSG00000001631;KRIT1;thyroid gland;14.7
ENSG00000001631;KRIT1;urinary bladder;14.7
ENSG00000001631;KRIT1;vagina;11.6
ENSG00000002016;RAD52;adipose tissue;4.3
ENSG00000002016;RAD52;adrenal gland;4.0
ENSG00000002016;RAD52;amygdala;2.1
ENSG00000002016;RAD52;basal ganglia;2.7
ENSG00000002016;RAD52;breast;4.7
ENSG00000002016;RAD52;cerebellum;7.6
ENSG00000002016;RAD52;cerebral cortex;3.2
ENSG00000002016;RAD52;cervix, uterine;9.8
ENSG00000002016;RAD52;colon;5.8
ENSG00000002016;RAD52;endometrium;6.6
ENSG00000002016;RAD52;esophagus;3.8
ENSG00000002016;RAD52;fallopian tube;6.5
ENSG00000002016;RAD52;heart muscle;2.4
ENSG00000002016;RAD52;hippocampal formation;2.5
ENSG00000002016;RAD52;hypothalamus;2.9
ENSG00000002016;RAD52;kidney;4.0
ENSG00000002016;RAD52;liver;2.6
ENSG00000002016;RAD52;lung;4.5
ENSG00000002016;RAD52;midbrain;2.8
ENSG00000002016;RAD52;ovary;8.2
ENSG00000002016;RAD52;pancreas;2.6
ENSG00000002016;RAD52;pituitary gland;5.7
ENSG00000002016;RAD52;prostate;6.4
ENSG00000002016;RAD52;salivary gland;3.8
ENSG00000002016;RAD52;skeletal muscle;3.4
ENSG00000002016;RAD52;skin;4.2
ENSG00000002016;RAD52;small intestine;4.8
ENSG00000002016;RAD52;spinal cord;3.7
ENSG00000002016;RAD52;spleen;5.4
ENSG00000002016;RAD52;stomach;3.3
ENSG00000002016;RAD52;testis;4.6
ENSG00000002016;RAD52;thyroid gland;9.6
ENSG00000002016;RAD52;urinary bladder;6.4
ENSG00000002016;RAD52;vagina;6.2
ENSG00000002549;LAP3;adipose tissue;72.6
ENSG00000002549;LAP3;adrenal gland;45.6
ENSG00000002549;LAP3;amygdala;20.7
ENSG00000002549;LAP3;basal ganglia;25.2
ENSG00000002549;LAP3;breast;58.4
ENSG00000002549;LAP3;cerebellum;15.9
ENSG00000002549;LAP3;cerebral cortex;24.3
ENSG00000002549;LAP3;cervix, uterine;33.1
ENSG00000002549;LAP3;colon;36.2
ENSG00000002549;LAP3;endometrium;36.7
ENSG00000002549;LAP3;esophagus;26.7
ENSG00000002549;LAP3;fallopian tube;43.0
ENSG00000002549;LAP3;heart muscle;23.6
ENSG00000002549;LAP3;hippocampal formation;19.5
ENSG00000002549;LAP3;hypothalamus;22.2
ENSG00000002549;LAP3;kidney;48.9
ENSG00000002549;LAP3;liver;39.6
ENSG00000002549;LAP3;lung;84.1
ENSG00000002549;LAP3;midbrain;28.1
ENSG00000002549;LAP3;ovary;21.0
ENSG00000002549;LAP3;pancreas;10.9
ENSG00000002549;LAP3;pituitary gland;25.7
ENSG00000002549;LAP3;prostate;24.6
ENSG00000002549;LAP3;salivary gland;36.4
ENSG00000002549;LAP3;skeletal muscle;31.6
ENSG00000002549;LAP3;skin;38.0
ENSG00000002549;LAP3;small intestine;40.1
ENSG00000002549;LAP3;spinal cord;41.2
ENSG00000002549;LAP3;spleen;61.3
ENSG00000002549;LAP3;stomach;27.3
ENSG00000002549;LAP3;testis;46.8
ENSG00000002549;LAP3;thyroid gland;43.0
ENSG00000002549;LAP3;urinary bladder;38.2
ENSG00000002549;LAP3;vagina;25.9
ENSG00000002587;HS3ST1;adipose tissue;2.3
ENSG00000002587;HS3ST1;adrenal gland;1.5
ENSG00000002587;HS3ST1;amygdala;0.7
ENSG00000002587;HS3ST1;basal ganglia;0.6
ENSG00000002587;HS3ST1;breast;1.9
ENSG00000002587;HS3ST1;cerebellum;14.3
ENSG00000002587;HS3ST1;cerebral cortex;1.7
ENSG00000002587;HS3ST1;cervix, uterine;3.7
ENSG00000002587;HS3ST1;colon;1.3
ENSG00000002587;HS3ST1;endometrium;4.2
ENSG00000002587;HS3ST1;esophagus;9.2
ENSG00000002587;HS3ST1;fallopian tube;5.7
ENSG00000002587;HS3ST1;heart muscle;1.1
ENSG00000002587;HS3ST1;hippocampal formation;0.9
ENSG00000002587;HS3ST1;hypothalamus;1.1
ENSG00000002587;HS3ST1;kidney;4.2
ENSG00000002587;HS3ST1;liver;0.1
ENSG00000002587;HS3ST1;lung;2.1
ENSG00000002587;HS3ST1;midbrain;1.1
ENSG00000002587;HS3ST1;ovary;32.4
ENSG00000002587;HS3ST1;pancreas;0.2
ENSG00000002587;HS3ST1;pituitary gland;5.1
ENSG00000002587;HS3ST1;prostate;2.2
ENSG00000002587;HS3ST1;salivary gland;3.4
ENSG00000002587;HS3ST1;skeletal muscle;0.1
ENSG00000002587;HS3ST1;skin;0.5
ENSG00000002587;HS3ST1;small intestine;1.8
ENSG00000002587;HS3ST1;spinal cord;1.4
ENSG00000002587;HS3ST1;spleen;1.9
ENSG00000002587;HS3ST1;stomach;1.6
ENSG00000002587;HS3ST1;testis;1.9
ENSG00000002587;HS3ST1;thyroid gland;1.9
ENSG00000002587;HS3ST1;urinary bladder;8.2
ENSG00000002587;HS3ST1;vagina;2.5
